DB00325,N#C[Fe-2](C#N)(C#N)(C#N)(C#N)N=O
DB00327,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5
DB00328,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
DB00331,CN(C)C(=N)NC(=N)N
DB00332,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
DB00333,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
DB00334,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1
DB00335,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
DB00337,CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(Cl)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC
DB00338,COc1ccc2nc([S+]([O-])Cc3ncc(C)c(OC)c3C)[nH]c2c1
DB00340,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1
DB00341,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
DB00342,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
DB00343,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1
DB00344,CNCCCC1c2ccccc2C=Cc2ccccc21
DB00346,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC
DB00347,CN1C(=O)OC(C)(C)C1=O
DB00348,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-]
DB00349,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21
DB00350,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-]
DB00351,CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C
DB00353,CCC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1
DB00354,CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1
DB00356,O=c1[nH]c2cc(Cl)ccc2o1
DB00357,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
DB00358,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1
DB00360,CC(O)C(O)C1CNc2nc(N)[nH]c(=O)c2N1
DB00361,CCC1=CC2CN(C1)Cc1c([nH]c3ccccc13)C(C(=O)OC)(c1cc3c(cc1OC)N(C)C1C(O)(C(=O)OC)C(OC(C)=O)C4(CC)C=CCN5CCC31C54)C2
DB00363,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
DB00364,O=S(=O)(OCC1OC(OC2(COS(=O)(=O)O[Al](O)O)OC(OS(=O)(=O)O[Al](O)O)C(OS(=O)(=O)O[Al](O)O)C2OS(=O)(=O)O[Al](O)O)C(OS(=O)(=O)O[Al](O)O)C(OS(=O)(=O)O[Al](O)O)C1OS(=O)(=O)O[Al](O)O)O[Al](O)O
DB00366,CN(C)CCOC(C)(c1ccccc1)c1ccccn1
DB00367,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC
DB00368,NCC(O)c1ccc(O)c(O)c1
DB00370,CN1CCN2c3ncccc3Cc3ccccc3C2C1
DB00371,CCCC(C)(COC(N)=O)COC(N)=O
DB00372,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2
DB00373,CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1
DB00374,CCCCCC(O)CCC1C(O)CC2Cc3c(cccc3OCC(=O)O)CC21
DB00376,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
DB00377,O=C1c2cccc3c2C(CCC3)CN1C1CN2CCC1CC2
DB00378,CC(=O)C1CCC2C3C=CC4=CC(=O)CCC4(C)C3CCC12C
DB00379,Cc1cccc(C)c1OCC(C)N
DB00380,CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
DB00381,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
DB00382,Nc1c2c(nc3ccccc13)CCCC2
DB00383,CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1
DB00384,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
DB00385,CCCCC(=O)OCC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(NC(=O)C(F)(F)F)C(O)C(C)O2)C1)C(=O)c1c(OC)cccc1C3=O
DB00387,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1
DB00388,CNCC(O)c1cccc(O)c1
DB00389,CCOC(=O)n1ccn(C)c1=S
DB00390,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O
DB00391,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
DB00392,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21
DB00393,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
DB00394,CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC21C
DB00395,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
DB00396,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
DB00397,CC(N)C(O)c1ccccc1
DB00398,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
DB00399,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
DB00400,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O
DB00401,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
DB00402,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1
DB00403,CSCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)C(NC(=O)C(Cc1ccc(OS(=O)(=O)O)cc1)NC(=O)C(CC(=O)O)NC(=O)C(CCC(N)=O)NC(=O)C1CCC(=O)N1)C(C)O)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O
DB00404,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
DB00405,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1
